State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)",Lemon,Lemon,Local,01/03/2026,4000,5000,4500
"Tamil Nadu",Vellore,"Pallikonda(Uzhavar Sandhai)",Potato,"Red Nanital",Local,01/03/2026,2500,2500,2500
"Tamil Nadu",Vellore,"Pallikonda(Uzhavar Sandhai)",Brinjal,Round,Local,01/03/2026,1500,2000,1750
"Tamil Nadu",Vellore,"Pallikonda(Uzhavar Sandhai)",Chikoos(Sapota),Sapota,Local,01/03/2026,3000,3000,3000
"Tamil Nadu",Vellore,"Pallikonda(Uzhavar Sandhai)","Cluster beans","Cluster Beans",Local,01/03/2026,4000,4500,4250
"Tamil Nadu",Vellore,"Pallikonda(Uzhavar Sandhai)",Ashgourd,Gouard,Local,01/03/2026,1500,1500,1500
"Tamil Nadu",Vellore,"Pallikonda(Uzhavar Sandhai)",Beans,"Beans (Whole)",Local,01/03/2026,3000,3000,3000
"Tamil Nadu",Vellore,"Pallikonda(Uzhavar Sandhai)",Carrot,Pusakesar,Local,01/03/2026,1800,1800,1800
"Tamil Nadu",Vellore,"Pallikonda(Uzhavar Sandhai)",Raddish,Raddish,Local,01/03/2026,2000,2000,2000
"Tamil Nadu",Vellore,"Pallikonda(Uzhavar Sandhai)","Tender Coconut","Tender Coconut",Local,01/03/2026,2000,3000,2500
"Tamil Nadu",Vellore,"Pallikonda(Uzhavar Sandhai)","Indian Beans(Seam)","Indian Beans (Seam)",Local,01/03/2026,3000,3500,3250
"Tamil Nadu",Vellore,"Pallikonda(Uzhavar Sandhai)",Mint(Pudina),Mint(Pudina),Local,01/03/2026,2500,2500,2500
"Tamil Nadu",Vellore,"Pallikonda(Uzhavar Sandhai)",Banana,Karpura,Local,01/03/2026,4000,5000,4500
"Tamil Nadu",Vellore,"Perampet(Uzhavar Sandhai)",Banana,Karpura,Local,01/03/2026,5000,5000,5000
"Tamil Nadu",Vellore,"Perampet(Uzhavar Sandhai)",Onion,Bellary,Local,01/03/2026,2500,2500,2500
"Tamil Nadu",Vellore,"Perampet(Uzhavar Sandhai)",Garlic,Garlic,Local,01/03/2026,14000,14000,14000
"Tamil Nadu",Vellore,"Perampet(Uzhavar Sandhai)",Brinjal,Other,Local,01/03/2026,1500,2000,1750
"Tamil Nadu",Vellore,"Perampet(Uzhavar Sandhai)","Cluster beans","Cluster Beans",Local,01/03/2026,4000,4000,4000
"Tamil Nadu",Vellore,"Perampet(Uzhavar Sandhai)",Cowpea(Veg),"Cowpea (Veg)",Local,01/03/2026,4000,4000,4000
"Tamil Nadu",Vellore,"Perampet(Uzhavar Sandhai)",Beans,"Beans (Whole)",Local,01/03/2026,4000,4000,4000
"Tamil Nadu",Vellore,"Perampet(Uzhavar Sandhai)","Green Avare(W)","Green Avare (W)",Local,01/03/2026,4400,4400,4400
"Tamil Nadu",Thanjavur,"Peravurani(Uzhavar Sandhai)",Amaranthus,Amaranthus,Local,01/03/2026,2000,2500,2250
"Tamil Nadu",Thanjavur,"Peravurani(Uzhavar Sandhai)","Banana - Green","Banana - Green",Local,01/03/2026,3000,3000,3000
"Tamil Nadu",Thanjavur,"Peravurani(Uzhavar Sandhai)",Snakeguard,Snakeguard,Local,01/03/2026,4000,4000,4000
"Tamil Nadu",Thanjavur,"Peravurani(Uzhavar Sandhai)",Raddish,Raddish,Local,01/03/2026,3500,3500,3500
"Tamil Nadu",Thanjavur,"Peravurani(Uzhavar Sandhai)",Drumstick,Drumstick,Local,01/03/2026,12000,12000,12000
"Tamil Nadu",Thanjavur,"Peravurani(Uzhavar Sandhai)",Mango(Raw-Ripe),"Mango - Raw-Ripe",Local,01/03/2026,7000,7000,7000
"Tamil Nadu",Pudukkottai,"Ponnamaravathi(Uzhavar Sandhai)",Banana,Besrai,Local,01/03/2026,6500,7000,6750
"Tamil Nadu",Pudukkottai,"Ponnamaravathi(Uzhavar Sandhai)",Brinjal,Round,Local,01/03/2026,4000,4500,4250
"Tamil Nadu",Pudukkottai,"Ponnamaravathi(Uzhavar Sandhai)",Papaya,Papaya,Local,01/03/2026,2500,3000,2750
"Tamil Nadu",Pudukkottai,"Ponnamaravathi(Uzhavar Sandhai)","Bitter gourd","Bitter Gourd",Local,01/03/2026,3000,3500,3250
"Tamil Nadu",Pudukkottai,"Ponnamaravathi(Uzhavar Sandhai)","Green Avare(W)","Green Avare (W)",Local,01/03/2026,4500,5000,4750
"Tamil Nadu",Pudukkottai,"Ponnamaravathi(Uzhavar Sandhai)",Drumstick,Drumstick,Local,01/03/2026,9500,10000,9750
"Tamil Nadu",Pudukkottai,"Ponnamaravathi(Uzhavar Sandhai)",Lime,Lime,Local,01/03/2026,1500,2000,1750
"Tamil Nadu",Pudukkottai,"Ponnamaravathi(Uzhavar Sandhai)",Mint(Pudina),Mint(Pudina),Local,01/03/2026,3500,4000,3750
"Tamil Nadu",Salem,"Vazhapadi(Uzhavar Sandhai)",Onion,Bellary,Local,01/03/2026,2500,3000,2750
"Tamil Nadu",Salem,"Vazhapadi(Uzhavar Sandhai)",Garlic,Garlic,Local,01/03/2026,18000,18000,18000
"Tamil Nadu",Salem,"Vazhapadi(Uzhavar Sandhai)",Brinjal,Other,Local,01/03/2026,2400,2400,2400
"Tamil Nadu",Salem,"Vazhapadi(Uzhavar Sandhai)",Tomato,Deshi,Local,01/03/2026,1000,1400,1200
"Tamil Nadu",Salem,"Vazhapadi(Uzhavar Sandhai)",Ashgourd,Gouard,Local,01/03/2026,2000,2000,2000
"Tamil Nadu",Salem,"Vazhapadi(Uzhavar Sandhai)","Bhindi(Ladies Finger)",Bhindi,Local,01/03/2026,4000,4500,4250
"Tamil Nadu",Salem,"Vazhapadi(Uzhavar Sandhai)",Amaranthus,Amaranthus,Local,01/03/2026,1500,2000,1750
"Tamil Nadu",Salem,"Vazhapadi(Uzhavar Sandhai)",Beans,"Beans (Whole)",Local,01/03/2026,6000,6500,6250
"Tamil Nadu",Salem,"Vazhapadi(Uzhavar Sandhai)",Drumstick,Drumstick,Local,01/03/2026,4000,4000,4000
"Tamil Nadu",Salem,"Vazhapadi(Uzhavar Sandhai)","Knool Khol","Knool Khol",Local,01/03/2026,5000,5000,5000
"Tamil Nadu",Salem,"Vazhapadi(Uzhavar Sandhai)",Colacasia,Colacasia,Local,01/03/2026,5000,5000,5000
"Tamil Nadu",Karur,"Gandhigramam(Uzhavar Sandhai)","Bottle gourd","Bottle Gourd",Local,01/03/2026,500,1000,750
"Tamil Nadu",Karur,"Gandhigramam(Uzhavar Sandhai)",Tapioca,Tapioca,Local,01/03/2026,2500,3000,2750
"Tamil Nadu",Karur,"Gandhigramam(Uzhavar Sandhai)","Sweet Potato","Hosur Red",Local,01/03/2026,2500,3500,3000
"Tamil Nadu",Karur,"Gandhigramam(Uzhavar Sandhai)",Cabbage,Cabbage,Local,01/03/2026,3000,3500,3250
"Tamil Nadu",Karur,"Gandhigramam(Uzhavar Sandhai)",Ridgeguard(Tori),Ridgeguard(Tori),Local,01/03/2026,3500,4000,3750
"Tamil Nadu",Karur,"Gandhigramam(Uzhavar Sandhai)",Raddish,Raddish,Local,01/03/2026,1100,1600,1350
"West Bengal",Hooghly,"Champadanga APMC",Tomato,Deshi,FAQ,01/03/2026,1400,1575,1500
"West Bengal",Birbhum,"Sainthia APMC","Arhar Dal(Tur Dal)","Arhar Dal(Tur)",FAQ,01/03/2026,10500,11200,11000
"West Bengal",Birbhum,"Sainthia APMC",Onion,Onion,FAQ,01/03/2026,2300,2500,2400
"Uttar Pradesh",Aligarh,"Charra APMC",Potato,Desi,FAQ,01/03/2026,800,900,850
"Uttar Pradesh",Aligarh,"Charra APMC",Pumpkin,Pumpkin,FAQ,01/03/2026,1300,1400,1350
Maharashtra,Ahmednagar,"Rahuri APMC",Tomato,Other,Local,01/03/2026,500,1300,900
Maharashtra,"Chattrapati Sambhajinagar","Chattrapati Sambhajinagar APMC",Onion,Other,Local,01/03/2026,300,1200,650
Maharashtra,"Chattrapati Sambhajinagar","Chattrapati Sambhajinagar APMC","Peas Wet",Other,Local,01/03/2026,1800,2200,2000
Maharashtra,Gadchiroli,"Armori(Desaiganj) APMC",Paddy(Common),Other,Non-FAQ,01/03/2026,1900,2300,2021
Maharashtra,Pune,"Pune APMC",Ginger(Green),Other,Local,01/03/2026,2500,4800,3650
Maharashtra,Pune,"Pune APMC",Onion,Local,Local,01/03/2026,400,1200,800
Maharashtra,Pune,"Pune APMC",Cabbage,Other,Local,01/03/2026,400,1000,700
Maharashtra,Pune,"Pune APMC",Garlic,Other,Local,01/03/2026,3000,11000,7000
Maharashtra,Pune,"Pune APMC","Chilly Capsicum",Other,Local,01/03/2026,2000,4500,3250
Maharashtra,Pune,"Pune APMC",Ridgeguard(Tori),Other,Local,01/03/2026,2000,4000,3000
Maharashtra,Pune,"Pune APMC",Tomato,Local,Local,01/03/2026,600,1600,1100
Maharashtra,Pune,"Pune APMC","Peas Wet",Other,Local,01/03/2026,2000,3000,2500
Maharashtra,Pune,"Pune APMC",Brinjal,Other,Local,01/03/2026,1400,4500,2950
Maharashtra,Pune,"Pune(Moshi) APMC",Grapes,Other,Local,01/03/2026,8000,10000,9000
Maharashtra,Pune,"Pune(Moshi) APMC",Pear(Marasebu),Other,Local,01/03/2026,8000,8000,8000
Maharashtra,Pune,"Pune(Moshi) APMC","Amla(Nelli Kai)",Other,Local,01/03/2026,6000,6000,6000
Maharashtra,Pune,"Pune(Moshi) APMC","Bhindi(Ladies Finger)",Other,Local,01/03/2026,3000,4000,3500
Maharashtra,Pune,"Pune(Moshi) APMC",Carrot,Other,Local,01/03/2026,2000,3000,2500
Maharashtra,Pune,"Pune(Moshi) APMC",Beans,Other,Local,01/03/2026,2500,3000,2750
Maharashtra,Pune,"Pune(Moshi) APMC",Pumpkin,Other,Local,01/03/2026,4000,4000,4000
Maharashtra,Pune,"Pune(Moshi) APMC","Green Chilli",Other,Local,01/03/2026,5000,7000,6000
Maharashtra,Pune,"Pune(Pimpri) APMC",Cabbage,Other,Local,01/03/2026,600,1000,800
Maharashtra,Pune,"Pune(Pimpri) APMC",Raddish,Other,Local,01/03/2026,7,8,8
Maharashtra,Pune,"Pune(Pimpri) APMC",Brinjal,Other,Local,01/03/2026,2500,4000,3250
"Uttar Pradesh",Fatehpur,"Fatehpur APMC",Tomato,Deshi,FAQ,01/03/2026,1200,1210,1205
"Uttar Pradesh",Baghpat,"Khekda APMC",Potato,Potato,FAQ,01/03/2026,800,800,800
Punjab,Mohali,"Banur APMC",Kinnow,Other,Local,01/03/2026,3500,3500,3500
Punjab,Mohali,"Banur APMC",Cucumbar(Kheera),Other,Local,01/03/2026,1800,1800,1800
Punjab,Mohali,"Banur APMC",Cabbage,Other,Local,01/03/2026,1500,1500,1500
"Uttar Pradesh",Hathras,"Shadabad APMC",Onion,Onion,Small,01/03/2026,900,1000,950
"Uttar Pradesh",Bulandshahar,"Siyana APMC","Mousambi(Sweet Lime)",Mousambi,Medium,01/03/2026,2100,2120,2110
"Uttar Pradesh",Bulandshahar,"Siyana APMC",Colacasia,Colacasia,Medium,01/03/2026,1105,1120,1110
"Uttar Pradesh",Bulandshahar,"Siyana APMC",Apple,Other,Medium,01/03/2026,4400,4420,4410
"Uttar Pradesh",Bulandshahar,"Siyana APMC",Garlic,Average,FAQ,01/03/2026,5200,5280,5240
"Uttar Pradesh",Balrampur,"Tulsipur APMC",Wheat,Dara,FAQ,01/03/2026,2450,2500,2475
"Uttar Pradesh",Balrampur,"Tulsipur APMC",Rice,III,FAQ,01/03/2026,2425,2475,2450
Tripura,Dhalai,"Kulai APMC",Brinjal,Round/Long,"Grade B",01/03/2026,3600,4000,3800
Tripura,Dhalai,"Chowmanu APMC","Green Chilli","Green Chilly",Local,01/03/2026,7000,9000,8000
"West Bengal","North 24 Parganas","Habra APMC",Papaya(Raw),Other,FAQ,01/03/2026,2000,2100,2000
"West Bengal",Darjeeling,"Karsiyang(Matigara) APMC","French Beans(Frasbean)",Other,FAQ,01/03/2026,5900,6100,6000
"West Bengal","Uttar Dinajpur","Raiganj APMC",Potato,Other,FAQ,01/03/2026,800,850,820
"West Bengal","Uttar Dinajpur","Raiganj APMC",Carrot,Carrot,FAQ,01/03/2026,1300,1500,1400
"Tamil Nadu",Coimbatore,"Sulur(Uzhavar Sandhai ) APMC",Cowpea(Veg),"Cowpea (Veg)",Local,01/03/2026,2200,2500,2350
"Tamil Nadu",Coimbatore,"Sulur(Uzhavar Sandhai ) APMC",Carrot,Pusakesar,Local,01/03/2026,3400,3800,3600
"Tamil Nadu",Coimbatore,"Sulur(Uzhavar Sandhai ) APMC",Cabbage,Cabbage,Local,01/03/2026,2000,2200,2100
"Tamil Nadu",Coimbatore,"Sulur(Uzhavar Sandhai ) APMC",Capsicum,Capsicum,Local,01/03/2026,5400,6000,5700
"Tamil Nadu",Coimbatore,"Sulur(Uzhavar Sandhai ) APMC",Turnip,Turnip,Local,01/03/2026,3600,4000,3800
"Tamil Nadu",Pudukkottai,"Gandarvakottai(Uzhavar Sandhai ) APMC",Brinjal,Other,Local,01/03/2026,3500,4000,3750
"Tamil Nadu",Pudukkottai,"Gandarvakottai(Uzhavar Sandhai ) APMC","Bottle gourd","Bottle Gourd",Local,01/03/2026,1000,1500,1250
"Tamil Nadu",Pudukkottai,"Gandarvakottai(Uzhavar Sandhai ) APMC",Mint(Pudina),Mint(Pudina),Local,01/03/2026,3500,4000,3750
"Tamil Nadu",Nagapattinam,"Mayiladuthurai(Uzhavar Sandhai ) APMC",Brinjal,Round,Local,01/03/2026,4500,5000,4750
"Tamil Nadu",Nagapattinam,"Mayiladuthurai(Uzhavar Sandhai ) APMC",Coriander(Leaves),"I Sort",Local,01/03/2026,3500,4000,3750
"Tamil Nadu",Nagapattinam,"Mayiladuthurai(Uzhavar Sandhai ) APMC",Pumpkin,Pumpkin,Local,01/03/2026,1500,2000,1750
"Tamil Nadu",Nagapattinam,"Mayiladuthurai(Uzhavar Sandhai ) APMC","Green Chilli","Green Chilly",Local,01/03/2026,5500,6000,5750
"Tamil Nadu",Nagapattinam,"Vedaranyam(Uzhavar Sandhai)","Cluster beans","Cluster Beans",Local,01/03/2026,3000,3500,3250
"Tamil Nadu",Nagapattinam,"Vedaranyam(Uzhavar Sandhai)","Green Chilli","Green Chilly",Local,01/03/2026,3800,4000,3900
"Tamil Nadu",Nagapattinam,"Vedaranyam(Uzhavar Sandhai)",Ginger(Green),"Green Ginger",Local,01/03/2026,7500,8000,7750
"Tamil Nadu",Nagapattinam,"Vedaranyam(Uzhavar Sandhai)","Green Avare(W)","Green Avare (W)",Local,01/03/2026,5000,5500,5250
"Tamil Nadu",Nagapattinam,"Vedaranyam(Uzhavar Sandhai)",Mango(Raw-Ripe),"Mango - Raw-Ripe",Local,01/03/2026,3800,4000,3900
"Tamil Nadu",Nagapattinam,"Vedaranyam(Uzhavar Sandhai)",Lemon,Lemon,Local,01/03/2026,4500,5000,4750
"Tamil Nadu",Namakkal,"Paramathivelur(Uzhavar Sandhai ) APMC",Potato,"Red Nanital",Local,01/03/2026,2200,2800,2500
"Tamil Nadu",Namakkal,"Paramathivelur(Uzhavar Sandhai ) APMC","Banana - Green","Banana - Green",Local,01/03/2026,3000,3500,3250
"Tamil Nadu",Namakkal,"Paramathivelur(Uzhavar Sandhai ) APMC",Snakeguard,Snakeguard,Local,01/03/2026,3500,4000,3750
"Tamil Nadu",Namakkal,"Paramathivelur(Uzhavar Sandhai ) APMC",Cucumbar(Kheera),Cucumbar,Local,01/03/2026,6500,7000,6750
"Tamil Nadu",Namakkal,"Paramathivelur(Uzhavar Sandhai ) APMC",Raddish,Raddish,Local,01/03/2026,2500,3000,2750
"Tamil Nadu",Namakkal,"Paramathivelur(Uzhavar Sandhai ) APMC",Lemon,Lemon,Local,01/03/2026,6000,6500,6250
"Tamil Nadu",Salem,"Thammampatti (Uzhavar Sandhai ) APMC",Pumpkin,Pumpkin,Local,01/03/2026,2000,2000,2000
"Tamil Nadu",Salem,"Thammampatti (Uzhavar Sandhai ) APMC","Banana - Green","Banana - Green",Local,01/03/2026,2000,2500,2250
"Tamil Nadu",Salem,"Thammampatti (Uzhavar Sandhai ) APMC",Coconut,Coconut,Local,01/03/2026,6000,6500,6250
"Tamil Nadu",Salem,"Thammampatti (Uzhavar Sandhai ) APMC",Beetroot,Beetroot,Local,01/03/2026,5000,5000,5000
"Tamil Nadu",Salem,"Thammampatti (Uzhavar Sandhai ) APMC",Ridgeguard(Tori),Ridgeguard(Tori),Local,01/03/2026,4000,4000,4000
"Tamil Nadu",Salem,"Thammampatti (Uzhavar Sandhai ) APMC",Guava,"Guava Allahabad",Local,01/03/2026,5500,6000,5750
"Tamil Nadu",Salem,"Thammampatti (Uzhavar Sandhai ) APMC",Lemon,Lemon,Local,01/03/2026,3000,4000,3500
"Tamil Nadu",Salem,"Thammampatti (Uzhavar Sandhai ) APMC","Onion Green","Onion Green",Local,01/03/2026,3000,3500,3250
"Tamil Nadu",Thiruvarur,"Tiruvarur(Uzhavar Sandhai ) APMC","Bhindi(Ladies Finger)",Bhindi,Local,01/03/2026,5400,5400,5400
"Tamil Nadu",Thiruvarur,"Tiruvarur(Uzhavar Sandhai ) APMC",Snakeguard,Snakeguard,Local,01/03/2026,4000,4000,4000
"Tamil Nadu",Coimbatore,"Udumalpet APMC","Water Melon","Water Melon",Local,01/03/2026,1500,2000,1750
"Tamil Nadu",Coimbatore,"Udumalpet APMC",Amaranthus,Amaranthus,Local,01/03/2026,2500,3000,2750
"Tamil Nadu",Coimbatore,"Udumalpet APMC",Coconut,Coconut,Local,01/03/2026,5000,6000,5500
"Tamil Nadu",Coimbatore,"Udumalpet APMC",Snakeguard,Snakeguard,Local,01/03/2026,1500,2000,1750
"Tamil Nadu",Coimbatore,"Udumalpet APMC",Raddish,Raddish,Local,01/03/2026,1500,2400,1950
"Tamil Nadu",Coimbatore,"Udumalpet APMC",Guava,"Guava Allahabad",Local,01/03/2026,6000,7000,6500
"Tamil Nadu",Vellore,"Katpadi (Uzhavar Sandhai ) APMC","Green Peas","Green Peas",Local,01/03/2026,4000,4000,4000
"Tamil Nadu",Vellore,"Katpadi (Uzhavar Sandhai ) APMC",Chikoos(Sapota),Sapota,Local,01/03/2026,3500,3500,3500
"Tamil Nadu",Vellore,"Katpadi (Uzhavar Sandhai ) APMC",Ashgourd,Gouard,Local,01/03/2026,2500,2500,2500
"Tamil Nadu",Vellore,"Katpadi (Uzhavar Sandhai ) APMC",Cabbage,Cabbage,Local,01/03/2026,1500,1500,1500
"Tamil Nadu",Vellore,"Katpadi (Uzhavar Sandhai ) APMC",Snakeguard,Snakeguard,Local,01/03/2026,3500,3500,3500
"Tamil Nadu",Vellore,"Katpadi (Uzhavar Sandhai ) APMC",Raddish,Raddish,Local,01/03/2026,2000,2000,2000
"Tamil Nadu",Vellore,"Katpadi (Uzhavar Sandhai ) APMC",Thondekai,Thondekai,Local,01/03/2026,3500,3500,3500
"Tamil Nadu",Vellore,"Katpadi (Uzhavar Sandhai ) APMC",Capsicum,Capsicum,Local,01/03/2026,4500,4500,4500
"Tamil Nadu",Vellore,"Katpadi (Uzhavar Sandhai ) APMC",Mango(Raw-Ripe),"Mango - Raw-Ripe",Local,01/03/2026,10000,10000,10000
"Tamil Nadu",Vellore,"Katpadi (Uzhavar Sandhai ) APMC",Lemon,Lemon,Local,01/03/2026,5000,5000,5000
"Tamil Nadu",Vellore,"Katpadi (Uzhavar Sandhai ) APMC","Onion Green","Onion Green",Local,01/03/2026,4000,4000,4000
"Tamil Nadu",Thanjavur,"Kumbakonam (Uzhavar Sandhai ) APMC","Cluster beans","Cluster Beans",Local,01/03/2026,4200,4200,4200
"Tamil Nadu",Thanjavur,"Kumbakonam (Uzhavar Sandhai ) APMC","Bitter gourd","Bitter Gourd",Local,01/03/2026,3600,6000,4800
"Tamil Nadu",Thanjavur,"Kumbakonam (Uzhavar Sandhai ) APMC","Bottle gourd","Bottle Gourd",Local,01/03/2026,3600,3600,3600
"Tamil Nadu",Thanjavur,"Kumbakonam (Uzhavar Sandhai ) APMC",Ashgourd,Gouard,Local,01/03/2026,2400,2400,2400
"Tamil Nadu",Thanjavur,"Kumbakonam (Uzhavar Sandhai ) APMC","Bhindi(Ladies Finger)",Bhindi,Local,01/03/2026,4200,4200,4200
"Tamil Nadu",Thanjavur,"Kumbakonam (Uzhavar Sandhai ) APMC",Amaranthus,Amaranthus,Local,01/03/2026,2000,2000,2000
"Tamil Nadu",Thanjavur,"Kumbakonam (Uzhavar Sandhai ) APMC","Banana - Green","Banana - Green",Local,01/03/2026,4000,4000,4000
"Tamil Nadu",Thanjavur,"Kumbakonam (Uzhavar Sandhai ) APMC",Cabbage,Cabbage,Local,01/03/2026,2400,2400,2400
"Tamil Nadu",Thanjavur,"Kumbakonam (Uzhavar Sandhai ) APMC",Cucumbar(Kheera),Cucumbar,Local,01/03/2026,5000,5000,5000
"Tamil Nadu",Thanjavur,"Kumbakonam (Uzhavar Sandhai ) APMC",Thondekai,Thondekai,Local,01/03/2026,4000,4000,4000
"Tamil Nadu",Thanjavur,"Kumbakonam (Uzhavar Sandhai ) APMC",Lime,Lime,Local,01/03/2026,4000,4000,4000
"Tamil Nadu",Villupuram,"Tindivanam APMC",Brinjal,Other,Local,01/03/2026,3000,3000,3000
"Tamil Nadu",Villupuram,"Tindivanam APMC","Green Chilli","Green Chilly",Local,01/03/2026,4000,4500,4250
"Tamil Nadu",Villupuram,"Tindivanam APMC",Drumstick,Drumstick,Local,01/03/2026,8000,8000,8000
"Tamil Nadu",Villupuram,"Tindivanam APMC","Karbuja(Musk Melon)",Karbhuja,Local,01/03/2026,2500,2500,2500
"Tamil Nadu",Villupuram,"Tindivanam APMC","Amla(Nelli Kai)",Amla,Local,01/03/2026,8000,8000,8000
"Tamil Nadu",Villupuram,"Tindivanam APMC",Rose(Local),"Rose (Local)",Local,01/03/2026,16000,16000,16000
"Tamil Nadu",Villupuram,"Tindivanam APMC",Mint(Pudina),Mint(Pudina),Local,01/03/2026,2000,2000,2000
"Tamil Nadu",Villupuram,"Ulundurpettai APMC",Brinjal,Round,Local,01/03/2026,3000,4000,3500
"Tamil Nadu",Villupuram,"Ulundurpettai APMC",Coriander(Leaves),"I Sort",Local,01/03/2026,6000,6000,6000
"Tamil Nadu",Villupuram,"Ulundurpettai APMC",Papaya,Papaya,Local,01/03/2026,2000,2000,2000
"Tamil Nadu",Villupuram,"Ulundurpettai APMC",Amaranthus,Amaranthus,Local,01/03/2026,2000,2000,2000
"Tamil Nadu",Villupuram,"Ulundurpettai APMC",Snakeguard,Snakeguard,Local,01/03/2026,4000,4000,4000
"Tamil Nadu",Villupuram,"Ulundurpettai APMC",Ridgeguard(Tori),Ridgeguard(Tori),Local,01/03/2026,4000,4000,4000
"Tamil Nadu",Villupuram,"Ulundurpettai APMC",Raddish,Raddish,Local,01/03/2026,3000,3000,3000
